year,sex,age_x,qx,lx,dx,upcase_lx,upcase_tx,ex
2004,Male,90,0.16208,15256,2473,14020,64851,4.3
2004,Male,91,0.17547,12784,2243,11662,50831,4
2004,Male,92,0.18986,10540,2001,9540,39168,3.7
2004,Male,93,0.20529,8539,1753,7663,29629,3.5
2004,Male,94,0.22183,6786,1505,6034,21966,3.2
2004,Male,95,0.23952,5281,1265,4648,15932,3
2004,Male,96,0.25841,4016,1038,3497,11284,2.8
2004,Male,97,0.27856,2978,830,2563,7787,2.6
2004,Male,98,0.30001,2149,645,1826,5223,2.4
2004,Male,99,0.3228,1504,485,1261,3397,2.3
2004,Male,100_and_over,1,1019,1019,2136,2136,2.1
2004,Female,0,0.00197,100000,197,99838,8204197,82
2004,Female,1,0.00018,99803,18,99794,8104358,81.2
2004,Female,2,0.00017,99785,17,99777,8004564,80.2
2004,Female,3,0.00016,99768,16,99760,7904788,79.2
2004,Female,4,0.00014,99753,14,99746,7805027,78.2
2004,Female,5,0.00012,99739,12,99732,7705281,77.3
2004,Female,6,0.00011,99726,11,99721,7605549,76.3
2004,Female,7,0.0001,99716,10,99711,7505828,75.3
2004,Female,8,0.00009,99706,9,99701,7406117,74.3
2004,Female,9,0.0001,99697,10,99692,7306416,73.3
2004,Female,10,0.0001,99687,10,99682,7206724,72.3
2004,Female,11,0.00011,99676,11,99671,7107042,71.3
2004,Female,12,0.00012,99666,12,99660,7007371,70.3
2004,Female,13,0.00013,99654,13,99647,6907712,69.3
2004,Female,14,0.00015,99641,15,99634,6808064,68.3
2004,Female,15,0.00016,99626,16,99618,6708431,67.3
2004,Female,16,0.00018,99610,18,99601,6608813,66.3
2004,Female,17,0.0002,99592,20,99582,6509212,65.4
2004,Female,18,0.00022,99572,22,99561,6409630,64.4
2004,Female,19,0.00024,99550,24,99538,6310069,63.4
2004,Female,20,0.00027,99526,27,99513,6210531,62.4
2004,Female,21,0.00029,99499,29,99485,6111019,61.4
2004,Female,22,0.0003,99471,30,99456,6011534,60.4
2004,Female,23,0.0003,99441,29,99426,5912078,59.5
2004,Female,24,0.00028,99411,28,99398,5812652,58.5
2004,Female,25,0.00026,99384,26,99371,5713254,57.5
2004,Female,26,0.00025,99358,25,99345,5613884,56.5
2004,Female,27,0.00024,99333,24,99321,5514539,55.5
2004,Female,28,0.00025,99309,25,99296,5415218,54.5
2004,Female,29,0.00027,99284,27,99270,5315921,53.5
2004,Female,30,0.00029,99257,29,99242,5216651,52.6
2004,Female,31,0.00032,99227,31,99212,5117409,51.6
2004,Female,32,0.00034,99196,34,99179,5018198,50.6
2004,Female,33,0.00038,99162,37,99143,4919019,49.6
2004,Female,34,0.00042,99125,41,99104,4819875,48.6
2004,Female,35,0.00046,99083,45,99061,4720771,47.6
2004,Female,36,0.0005,99038,50,99013,4621711,46.7
2004,Female,37,0.00055,98988,54,98961,4522698,45.7
2004,Female,38,0.00061,98934,60,98904,4423737,44.7
2004,Female,39,0.00067,98874,67,98840,4324833,43.7
2004,Female,40,0.00074,98807,73,98771,4225992,42.8
2004,Female,41,0.00081,98734,80,98694,4127222,41.8
2004,Female,42,0.00089,98654,88,98610,4028528,40.8
2004,Female,43,0.001,98566,98,98517,3929918,39.9
2004,Female,44,0.00111,98468,109,98413,3831401,38.9
2004,Female,45,0.00123,98358,121,98298,3732988,38
2004,Female,46,0.00135,98238,133,98171,3634690,37
2004,Female,47,0.0015,98105,147,98031,3536518,36
2004,Female,48,0.00169,97958,165,97875,3438487,35.1
2004,Female,49,0.0019,97792,185,97700,3340612,34.2
2004,Female,50,0.00211,97607,206,97504,3242912,33.2
2004,Female,51,0.00234,97401,228,97287,3145409,32.3
2004,Female,52,0.00258,97173,251,97048,3048121,31.4
2004,Female,53,0.00286,96922,278,96784,2951074,30.4
2004,Female,54,0.00317,96645,306,96492,2854290,29.5
2004,Female,55,0.00347,96339,334,96172,2757798,28.6
2004,Female,56,0.0038,96004,364,95822,2661627,27.7
2004,Female,57,0.00418,95640,399,95440,2565805,26.8
2004,Female,58,0.00464,95240,442,95019,2470365,25.9
2004,Female,59,0.00516,94798,489,94554,2375345,25.1
2004,Female,60,0.00568,94309,536,94041,2280792,24.2
2004,Female,61,0.00624,93773,585,93481,2186750,23.3
2004,Female,62,0.00691,93188,643,92866,2093270,22.5
2004,Female,63,0.00774,92545,716,92186,2000403,21.6
2004,Female,64,0.00867,91828,796,91430,1908217,20.8
2004,Female,65,0.00963,91032,877,90594,1816787,20
2004,Female,66,0.01063,90155,959,89676,1726193,19.1
2004,Female,67,0.01178,89197,1051,88671,1636517,18.3
2004,Female,68,0.01314,88146,1159,87567,1547846,17.6
2004,Female,69,0.01461,86987,1271,86352,1460279,16.8
2004,Female,70,0.0161,85716,1380,85026,1373928,16
2004,Female,71,0.01771,84336,1494,83589,1288902,15.3
2004,Female,72,0.01973,82842,1635,82025,1205313,14.5
2004,Female,73,0.02236,81207,1816,80299,1123288,13.8
2004,Female,74,0.02534,79392,2011,78386,1042988,13.1
2004,Female,75,0.02839,77380,2197,76282,964603,12.5
2004,Female,76,0.03158,75184,2374,73996,888321,11.8
2004,Female,77,0.0353,72809,2570,71524,814324,11.2
2004,Female,78,0.03986,70239,2800,68840,742800,10.6
